Original,Arff-File,In Orignial but not in Arff-File,COMMENT,In Arff-File but not in Orignial  ,COMMENT
numArcsGE075,numArcsGE280,,,,
numArcsGE080,numArcsGE300,,,,
numArcsGE085,numDcoArcsGE000,,,,
numArcsGE090,numDcoArcsGE010,,,,
numArcsGE095,numDcoArcsGE020,,,,
numArcsGE100,numDcoArcsGE040,,,,
numArcsGE120,numDcoArcsGE060,,,,
numArcsGE140,numDcoArcsGE075,,,,
numArcsGE160,numDcoArcsGE080,,,,
numArcsGE180,numDcoArcsGE085,,,,
numArcsGE200,numDcoArcsGE090,,,,
numArcsGE220,numDcoArcsGE095,,,,
numArcsGE240,numDcoArcsGE100,,,,
numArcsGE260,numDcoArcsGE120,,,,
numArcsGE280,numDcoArcsGE140,,,,
numArcsGE300,numDcoArcsGE160,,,,
numDcoArcsGE000,numDcoArcsGE180,,,,
numDcoArcsGE010,numDcoArcsGE200,,,,
numDcoArcsGE020,numDcoArcsGE220,,,,
numDcoArcsGE040,numDcoArcsGE240,,,,
numDcoArcsGE060,numDcoArcsGE260,,,,
numDcoArcsGE075,numDcoArcsGE280,,,,
numDcoArcsGE080,numDcoArcsGE300,,,,
numDcoArcsGE085,deVAB_i,,,,
numDcoArcsGE090,expAB_i,,,,
numDcoArcsGE095,lnLexp_i,,,,
numDcoArcsGE100,lnLdeV_i,,,,
numDcoArcsGE120,lnLstar_i,,,,
numDcoArcsGE140,MRrCc_i,,,,
numDcoArcsGE160,mCr4_i,,,,
numDcoArcsGE180,texture_i,,,,
numDcoArcsGE200,mE1_i,,,,
numDcoArcsGE220,mE2_i,,,,
numDcoArcsGE240,disk-to-bulge_ratio,,,,
numDcoArcsGE260,g-r,,,,
numDcoArcsGE280,petroR90_g-to-petroR50_g-ratio,,,,
numDcoArcsGE300,petroR90_i-to-petroR50_i-ratio,,,,
_,petroR90_r-to-petroR50_r-ratio,,,,
name2,petroR90_u-to-petroR50_z-ratio,,,,
OBJID,petroR90_z-to-petroR50_z-ratio,,,,
petroR50_g,r-i,,,,
petroR50_r,p_cs,,,,
petroR50_i,p_cw_p_acw,,,,
petroR50_z,p_el,,,,
petroR90_u,p_dk,,,,
petroR90_g,p_mg,,,,
petroR90_r,p_edge,,,,
petroR90_i,p_cw,,,,
petroR90_z,p_acw,,,,
OBJID2,,,,,
RA,,,,,
DEC,,,,,
NVOTE_TOT,,,,,
NVOTE_STD,,,,,
NVOTE_MR1,,,,,
NVOTE_MR2,,,,,
NVOTE_MON,,,,,
P_EL,,,,,
P_CW,,,,,
P_ACW,,,,,
P_EDGE,,,,,
P_DK,,,,,
P_MG,,,,,
P_CS,,,,,
objId,,,,,
dered_g,,,,,
dered_r,,,,,
dered_i,,,,,
deVAB_i,,,,,
expAB_i,,,,,
lnLexp_i,,,,,
lnLdeV_i,,,,,
lnLstar_i,,,,,
petroR90_i,,,,,
petroR50_i,,,,,
MRrCc_i,,,,,
mCr4_i,,,,,
texture_i,,,,,
ra,,,,,
dec,,,,,
mE1_i,,,,,
mE2_i,,,,,
objID,,,,,
z,,,,,
zErr,,,,,
nnCount,,,,,
nnVol,,,,,
nnIsInside,,,,,
nnObjID,,,,,
nnSpecz,,,,,
nnFarObjID,,,,,
nnAvgZ,,,,,
distMod,,,,,
chiSq,,,,,
pzType,,,,,
rest_ug,,,,,
rest_gr,,,,,
rest_ri,,,,,
rest_iz,,,,,
kcorr_u,,,,,
kcorr_g,,,,,
kcorr_r,,,,,
kcorr_i,,,,,
kcorr_z,,,,,
MU,,,,,
MG,,,,,
MR,,,,,
MI,,,,,
MZ,,,,,
ratioR90_R50,,,,,
