SDSS_dr8objid	GZ_dr8objid
1237651250411471009	1237651250411471009
1237651250411929839	1237651250411929839
1237651250412847198	1237651250412847198
1237651250440503389	1237651250440503389
1237655502428307538	1237651250451644452
1237651250941919523	1237651250941919523
1237651250951946376	1237651250951946376
1237651250953322621	1237651250953322621
1237651250956664954	1237651250956664954
null	1237651250957779038
1237651250979340362	1237651250979340362
1237655129842516342	1237651250982814145
1237651251482263771	1237651251482263771
1237651251515490750	1237651251515490750
1237651251517325687	1237651251517325687
1237655503501984384	1237651251525321372
1237651252016578837	1237651252016578837
1237651252029161613	1237651252029161613
1237651252041285773	1237651252041285773
1237651495215956679	1237651252550435582
1237651495217332624	1237651252551811144
1237651495218315565	1237651252552794371
1237651252565901510	1237651252565901510
1237651252581433419	1237651252581433419
1237651271884537912	1237651271884537912
1237651271903543463	1237651271903543463
1237651272416362903	1237651272416362903
1237651272423833752	1237651272423833752
1237651272424161371	1237651272424161371
1237651272424685655	1237651272424685655
1237651272427962500	1237651272427962500
1237651272437399607	1237651272437399607
1237651272951726713	1237651272951726713
1237651272956444915	1237651272956444915
1237651272963588139	1237651272963588139
1237651272971190298	1237651272971190298
1237651273489580232	1237651273489580232
1237651273495019892	1237651273495019892
1237651274035167400	1237651274035167400
1237651274035363852	1237651274035363852
1237651274036347015	1237651274036347015
1237651274042507458	1237651274042507458
1237651274052468986	1237651274052468986
1237651297650082180	1237651297650082180
1237651495756562636	1237651495756562636
1237651701914009656	1237651495761543366
1237651496290025826	1237651496290025826
1237651496292974720	1237651496292974720
1237651496295006496	1237651496295006496
1237651496827290123	1237651496827290123
1237651496831549633	1237651496831549633
1237648721778245662	1237651504880615503
1237648722851922091	1237651505954357375
1237651537645732014	1237651537645732014
1237651538165104762	1237651538165104762
1237651538183323838	1237651538183323838
1237651538186076279	1237651538186076279
1237651538186076286	1237651538186076286
1237651538188304564	1237651538188304564
1237651538189156533	1237651538189156533
1237651538707480594	1237651538707480594
1237651538710167689	1237651538710167689
1237651538714296470	1237651538714296470
1237651538718556261	1237651538718556261
1237651539244023910	1237651539244023910
1237651539245990027	1237651539245990027
1237651539246710815	1237651539246710815
1237651539252281587	1237651539252281587
1237651539257065669	1237651539257065669
1237651539259883614	1237651539259883614
1237651539262636198	1237651539262636198
1237651539776962736	1237651539776962736
1237651539777290439	1237651539777290439
1237651539779190927	1237651539779190927
1237651539782729807	1237651539782729807
1237651539787317341	1237651539787317341
