gxyName	alenRank	math_initial_theta	pitch_angle	math_initial_radius	relative_theta_start	relative_theta_end	r_start	r_end	used2rev	failed2rev	hasUndefinedEndpoints	arc_length	num_pixels	err_per_len	err_per_pixel	mean_intensity	brt_ratio_score	anovaF_score	clusOutputColor
1237661384387789055	1	5.160021	-4.173252	54.102137	0.000000	1.709529	54.102137	61.289666	0	0	0	98.766971	1394.000000	799.084887	56.616352	0.525230	0.988042	1.446434	[1_0_1]
1237661384387789055	2	8.198914	10.331025	63.511210	0.000000	1.778170	45.927925	63.511210	0	0	0	98.047172	1299.000000	577.699220	43.604138	0.603024	1.082137	90.938558	[0_1_0]
1237661384387789055	3	10.377919	24.721230	78.468766	0.000000	0.351409	66.747219	78.468766	0	0	0	28.028320	238.000000	34.759665	4.093508	0.439839	1.024948	4.325655	[0_1_1]
1237661384387789055	4	6.953667	39.729465	80.920006	0.000000	0.254865	65.473591	80.920006	0	0	0	24.166613	277.000000	102.177771	8.914407	0.406225	1.052542	10.451008	[0_0_1]
1237661384387789055	5	10.522448	6.319572	107.672186	0.000000	0.216831	105.117417	107.672186	0	0	0	23.209592	187.000000	14.863442	1.844783	0.257925	1.021139	7.495563	[1_1_0]
1237661384387789055	6	8.224275	-17.645836	115.461603	0.000000	0.151768	115.461603	121.172509	0	0	0	18.839644	120.000000	6.160489	0.967179	0.186763	1.009817	0.786454	[1_0_0]
