gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
1237671124296532233,1,3.548092,-14.077337,45.749273,0.000000,2.796974,45.749273,92.254513,0,0,0,191.197542,3548.000000,1442.711963,77.746049,0.512322,1.132095,389.659503,[1 0 0.75]
1237671124296532233,2,4.688339,-30.552787,9.040362,0.000000,3.982409,9.040362,94.865685,0,0,0,168.837153,2674.000000,489.797023,30.925929,0.605401,1.040634,25.481786,[0 1 1]
1237671124296532233,3,8.908200,32.810568,58.896193,0.000000,0.982228,31.265566,58.896193,0,0,0,50.991883,752.000000,488.604177,33.131446,0.634683,1.048483,31.270519,[1 0.75 0]
1237671124296532233,4,6.186143,10.068122,74.464818,0.000000,0.546367,67.580371,74.464818,0,0,0,39.380445,340.000000,64.138675,7.428852,0.431720,1.033929,24.003052,[0.5 0 1]
1237671124296532233,5,7.633033,17.784015,22.957059,0.000000,1.626093,13.626883,22.957059,0,0,0,30.547706,366.000000,162.624877,13.573270,0.816192,1.012916,7.387000,[0 1 0.25]
1237671124296532233,6,9.993249,-18.666612,113.385142,0.000000,0.193321,113.385142,121.037484,0,0,0,23.909014,180.000000,11.089879,1.473045,0.189715,1.050144,45.088374,[1 0 0]
1237671124296532233,7,10.414996,9.430866,92.028814,0.000000,0.252493,88.248969,92.028814,0,0,0,23.067893,163.000000,11.406297,1.614228,0.262268,1.057997,25.339756,[0.5 1 0]
1237671124296532233,8,6.181562,15.273224,54.636865,0.000000,0.254628,50.966999,54.636865,0,0,0,13.931496,281.000000,566.503090,28.086247,0.562940,0.984565,3.239926,[0 0.25 1]
