name,objID,ra,dec,run,rerun,camcol,field,rowC,colC,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1237655108382163110_r,5.87729E+17,203.7459844,58.77379502,2243,40,4,401,802.084167,1318.28882,GALAXY,18.372379,17.081421,16.479458,16.110846,15.901894,18.425993,17.109938,16.539316,16.176727,16.08127
1237655108896555253_r,5.87729E+17,123.6666477,40.62261052,2243,40,5,58,760.517029,1563.13623,GALAXY,18.280577,16.910204,16.308487,15.926429,15.762892,18.06514,16.795271,16.244347,15.845868,15.749713
1237655108902453411_r,5.87729E+17,137.4170044,49.99582153,2243,40,5,148,339.95755,147.39061,GALAXY,17.99641,16.83437,16.360317,16.150341,16.055702,17.93919,16.669521,16.285524,16.165665,16.195175
1237655108903567580_r,5.87729E+17,140.6661889,51.68927669,2243,40,5,165,1382.60889,583.48114,GALAXY,17.886698,16.819847,16.424471,16.142517,16.033918,17.922478,16.796818,16.38349,16.145769,16.047333
1237655108904550490_r,5.87729E+17,143.3551311,53.08002272,2137,40,5,285,1001.03119,98.832863,GALAXY,18.733696,17.448715,16.836809,16.485416,16.266888,18.762091,17.328653,16.75416,16.439264,16.288647
1237655108905205829_r,5.87729E+17,145.5978922,53.76426835,2243,40,5,190,409.859283,280.66861,GALAXY,18.197773,17.015366,16.405941,16.122902,15.940223,17.907248,16.846262,16.341263,16.089767,16.12149
1237655108908548128_r,5.87729E+17,157.5077237,57.57804245,2243,40,5,241,1073.62976,1552.72644,GALAXY,17.759031,16.724033,16.324585,16.032778,15.880828,17.787924,16.726812,16.334549,16.058897,15.994531
1237655108909138094_r,5.87729E+17,159.8582569,57.96800353,2243,40,5,250,709.168396,450.737793,GALAXY,19.363787,17.839348,17.012085,16.58321,16.267225,19.302746,17.895761,17.171545,16.778593,16.524616
1237655108919230677_r,5.87729E+17,204.919153,59.05218463,2243,40,5,404,1268.41772,1507.41296,GALAXY,18.666668,17.368776,16.720171,16.281786,16.033016,18.237152,16.986752,16.550066,16.160889,16.032879
1237655109449220261_r,5.87729E+17,173.5656029,60.44719938,2243,40,6,299,1403.08179,916.111145,GALAXY,19.471216,17.823574,16.852886,16.416094,16.084105,19.439713,18.148689,17.272158,16.955645,16.555599
1237655109453545572_r,5.87729E+17,193.6317237,60.76077922,2243,40,6,365,830.700684,1843.73291,GALAXY,18.034079,16.902073,16.523869,16.310011,16.275421,18.066593,16.82637,16.538273,16.336784,16.505133
1237655109454463080_r,5.87729E+17,197.8268025,60.35944872,2243,40,6,379,865.815186,1265.81958,GALAXY,18.864756,17.23658,16.437513,15.998599,15.675379,18.80373,17.069593,16.335253,15.923053,15.679013
